rgi7_id,rgi6_id,surge_id,t_init,t_term,max_vel,cluster
RGI2000-v7.0-G-01-03935,,0,2000-03,2002-03,2467,alaska_yukon
RGI2000-v7.0-G-01-03935,,1,2000-10,2001-01,2200,alaska_yukon
RGI2000-v7.0-G-01-04294,,0,1999-12,2002-03,2170,alaska_yukon
RGI2000-v7.0-G-01-04458,,0,2019-03,2022-10,4900,alaska_yukon
RGI2000-v7.0-G-01-04634,,0,2000-05,2001-07,1750,alaska_yukon
RGI2000-v7.0-G-01-06369,,0,2022-04,,1500,alaska_yukon
RGI2000-v7.0-G-01-13271,,0,,2003-09,1800,alaska_yukon
RGI2000-v7.0-G-01-13271,,1,2021-11,2022-07,970,alaska_yukon
RGI2000-v7.0-G-01-13485,,0,2008-04,2013-04,3000,alaska_yukon
RGI2000-v7.0-G-01-13529,,0,2022-02,2022-09,5200,alaska_yukon
RGI2000-v7.0-G-01-13555,,0,2020-11,2021-07,2000,alaska_yukon
RGI2000-v7.0-G-01-13666,,0,2014-07,2017-12,4600,alaska_yukon
RGI2000-v7.0-G-01-14180,,0,2002-03,2004-07,800,alaska_yukon
RGI2000-v7.0-G-01-14408,,0,1999-09,2002-09,1400,alaska_yukon
RGI2000-v7.0-G-01-14408,,1,2010-09,2014-01,1200,alaska_yukon
RGI2000-v7.0-G-01-14439,,0,2017-04,2019-07,3000,alaska_yukon
RGI2000-v7.0-G-01-14716,,0,2021-04,2023-08,4400,alaska_yukon
RGI2000-v7.0-G-01-14716,,1,2009-04,2010-09,2800,alaska_yukon
RGI2000-v7.0-G-01-14761,,0,2001-04,2003-09,2300,alaska_yukon
RGI2000-v7.0-G-01-14767,,0,2014-04,2016-10,2500,alaska_yukon
RGI2000-v7.0-G-01-14859,,0,2006-05,2009-03,2400,alaska_yukon
RGI2000-v7.0-G-01-15252,,0,2001-04,2001-09,1100,alaska_yukon
RGI2000-v7.0-G-01-15261,,0,2007-10,2009-09,3800,alaska_yukon
RGI2000-v7.0-G-01-15261,,1,2020-04,2021-07,4300,alaska_yukon
RGI2000-v7.0-G-01-15274,,0,2021-12,2022-09,3000,alaska_yukon
RGI2000-v7.0-G-01-15274,,1,2012-03,2013-08,4000,alaska_yukon
RGI2000-v7.0-G-01-15293,,0,2012-05,2013-11,8250,alaska_yukon
RGI2000-v7.0-G-01-15293,,1,2020-05,2023-01,10500,alaska_yukon
RGI2000-v7.0-G-01-15295,,0,2022-01,2022-08,2500,alaska_yukon
RGI2000-v7.0-G-01-16227,,0,1993-07,1997-09,2200,alaska_yukon
RGI2000-v7.0-G-01-16227,,1,2014-01,2016-07,4400,alaska_yukon
RGI2000-v7.0-G-01-16227,,2,2021-09,,1050,alaska_yukon
RGI2000-v7.0-G-01-16307,,1,2021-08,,,alaska_yukon
RGI2000-v7.0-G-01-16307,,0,2003-10,2004-07,3300,alaska_yukon
RGI2000-v7.0-G-01-16317,,0,2013-04,2019-12,2200,alaska_yukon
RGI2000-v7.0-G-01-17226,,0,2012-10,2013-08,1700,alaska_yukon
RGI2000-v7.0-G-01-27166,,0,2011-03,2011-10,2200,alaska_yukon
RGI2000-v7.0-G-01-27355,,0,2007-04,2009-09,1400,alaska_yukon
RGI2000-v7.0-G-01-08847,,0,2023-03,,,alaska_yukon
RGI2000-v7.0-G-01-02593,,0,,2004-01,,alaska_yukon
RGI2000-v7.0-G-01-04634,,0,,2004-05,2250,alaska_yukon
RGI2000-v7.0-G-01-16233,,0,2002-07,2004-04,1075,alaska_yukon
RGI2000-v7.0-G-01-16233,,1,2023-10,,1475,alaska_yukon
RGI2000-v7.0-G-01-27374,,0,2012-03,2013-07,1650,alaska_yukon
RGI2000-v7.0-G-03-00462,,0,2007-01,2014-01,2700,canadian_arctic
RGI2000-v7.0-G-03-00462,,1,2022-01,,,canadian_arctic
RGI2000-v7.0-G-03-03186,,0,2005-01,2014-01,907,canadian_arctic
RGI2000-v7.0-G-03-03633,,0,2004-01,2009-01,1250,canadian_arctic
RGI2000-v7.0-G-03-03636,,0,2004-01,2010-01,1300,canadian_arctic
RGI2000-v7.0-G-03-04910,,0,,2006-01,1000,canadian_arctic
RGI2000-v7.0-G-05-02222,,0,2014-06,2016-07,590,greenland
RGI2000-v7.0-G-05-02583,,0,,2003-04,590,greenland
RGI2000-v7.0-G-07-00054,,0,,2020-09,1550,svalbard_russian_arctic
RGI2000-v7.0-G-07-00291,,0,2013-04,2015-11,1600,svalbard_russian_arctic
RGI2000-v7.0-G-07-00308,,0,2019-08,2022-04,2500,svalbard_russian_arctic
RGI2000-v7.0-G-07-00354,,0,2014-05,2018-10,2400,svalbard_russian_arctic
RGI2000-v7.0-G-07-00502,,0,2016-04,2019-10,2450,svalbard_russian_arctic
RGI2000-v7.0-G-07-00741,,0,2021-03,,6000,svalbard_russian_arctic
RGI2000-v7.0-G-07-00748,,0,2024-06,,9300,svalbard_russian_arctic
RGI2000-v7.0-G-07-00749,,0,2016-05,2021-05,7500,svalbard_russian_arctic
RGI2000-v7.0-G-07-00755,,0,2020-07,2022-04,,svalbard_russian_arctic
RGI2000-v7.0-G-07-00774,,0,2015-09,2019-07,1300,svalbard_russian_arctic
RGI2000-v7.0-G-07-00774,,1,,2020-05,1200,svalbard_russian_arctic
RGI2000-v7.0-G-07-00808,,0,2016-07,2018-06,2000,svalbard_russian_arctic
RGI2000-v7.0-G-07-00876,,0,2018-08,2020-08,2000,svalbard_russian_arctic
RGI2000-v7.0-G-07-00889,,0,2014-08,2020-04,1715,svalbard_russian_arctic
RGI2000-v7.0-G-07-00899,,0,,2018-04,,svalbard_russian_arctic
RGI2000-v7.0-G-07-00902,,0,,2018-04,,svalbard_russian_arctic
RGI2000-v7.0-G-07-00909,,0,2022-05,,3500,svalbard_russian_arctic
RGI2000-v7.0-G-07-00913,,0,,2018-04,10400,svalbard_russian_arctic
RGI2000-v7.0-G-07-00917,,0,2024-06,,,svalbard_russian_arctic
RGI2000-v7.0-G-07-00967,,0,2024-07,,,svalbard_russian_arctic
RGI2000-v7.0-G-07-00969,,0,2016-06,2018-03,2350,svalbard_russian_arctic
RGI2000-v7.0-G-07-00969,,1,2019-06,2020-04,8000,svalbard_russian_arctic
RGI2000-v7.0-G-07-01161,,0,2018-04,,3000,svalbard_russian_arctic
RGI2000-v7.0-G-07-01162,,0,2017-04,2020-05,900,svalbard_russian_arctic
RGI2000-v7.0-G-07-01203,,0,2016-04,,4100,svalbard_russian_arctic
RGI2000-v7.0-G-07-01219,,0,2024-03,,,svalbard_russian_arctic
RGI2000-v7.0-G-07-01312,,0,2014-03,2018-08,1120,svalbard_russian_arctic
RGI2000-v7.0-G-07-01385,,0,2014-06,2018-04,3300,svalbard_russian_arctic
RGI2000-v7.0-G-07-01466,,0,2024-06,,7700,svalbard_russian_arctic
RGI2000-v7.0-G-07-01538,,0,2022-09,2024-08,3500,svalbard_russian_arctic
RGI2000-v7.0-G-07-01548,,0,2022-04,,,svalbard_russian_arctic
RGI2000-v7.0-G-09-00674,,0,2018-04,2024-04,2000,svalbard_russian_arctic
RGI2000-v7.0-G-09-00950,,0,2013-07,,8500,svalbard_russian_arctic
RGI2000-v7.0-G-09-00638,,0,2022-05,,,svalbard_russian_arctic
RGI2000-v7.0-G-13-16176,,0,2000-12,2004-09,1000,high_mountain_asia
RGI2000-v7.0-G-13-33874,,0,2021-05,2023-01,550,high_mountain_asia
RGI2000-v7.0-G-13-19267,,0,2023-04,2023-09,1510,high_mountain_asia
RGI2000-v7.0-G-13-05590,,0,2013-05,2015-05,1400,high_mountain_asia
RGI2000-v7.0-G-13-16720,,1,1998-12,2004-10,500,high_mountain_asia
RGI2000-v7.0-G-13-16340,,0,2001-05,2005-09,650,high_mountain_asia
RGI2000-v7.0-G-13-05593,,0,2016-06,2017-04,1200,high_mountain_asia
RGI2000-v7.0-G-13-05679,,0,2008-01,2014-03,750,high_mountain_asia
RGI2000-v7.0-G-13-05679,,1,2017-12,2023-01,1800,high_mountain_asia
RGI2000-v7.0-G-13-05693,,0,2022-04,2022-08,2500,high_mountain_asia
RGI2000-v7.0-G-13-05693,,1,2015-09,2017-09,1600,high_mountain_asia
RGI2000-v7.0-G-13-05715,,0,2014-02,2017-09,1000,high_mountain_asia
RGI2000-v7.0-G-13-05715,,1,2014-12,2017-04,1100,high_mountain_asia
